shard,node
1,1
2,2
3,2
4,2
5,1
6,1
7,2
8,1
9,2
10,2
11,1
12,2
13,1
14,1
15,2
16,1
17,1
18,2
19,1
20,2
21,1
22,1
23,2
24,1
25,1
26,1
27,2
28,1
29,2
30,2
31,2
32,2
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,1
47,2
48,2
49,2
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,2
60,2
61,2
62,2
63,1
64,1
65,2
66,2
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,2
76,1
77,2
78,1
79,2
80,2
81,1
82,1
83,2
84,2
85,1
86,2
87,2
88,1
89,1
90,1
91,2
92,1
93,2
94,2
95,2
96,2
97,1
98,2
99,1
100,1
