3.195,5.513,2.559,2.712,4.362,3.81,5.168,3.756,4.262,4.728
3.826,4.205,3.579,4.133,4.535,3.844,4.475,1.751,3.339,4.303
4.092,3.148,5.355,4.593,3.317,4.587,5.27,2.926,3.839,3.449
3.909,5.258,2.279,4.04,3.835,5.451,5.098,7.404,3.838,3.187
3.318,4.074,3.363,1.943,4.46,6.862,3.737,2.859,2.439,3.23
3.07,3.283,3.71,3.232,2.548,4.995,4.025,3.912,4.85,2.926
4.709,3.842,5.285,3.443,3.287,4.456,3.82,3.596,4.698,1.749
2.88,3.645,4.928,5.25,3.597,4.79,4.285,6.526,4.276,3.33
3.544,2.845,4.026,4.178,5.258,4.005,4.506,5.412,3.913,2.654
4.893,4.813,3.551,4.897,3.154,3.584,4.27,6.371,5.525,5.713
