shard,node
8,2
12,2
62,2
83,2
2,2
40,2
3,2
97,2
88,2
34,2
75,2
1,2
10,2
27,2
95,2
19,2
56,2
59,2
78,2
29,2
57,2
37,2
54,2
17,2
64,2
25,2
36,2
16,2
49,2
55,2
50,2
85,2
66,2
48,2
98,2
22,2
67,2
90,2
82,2
81,2
68,2
94,2
58,2
93,2
61,2
99,2
45,2
70,2
7,2
46,2
60,2
13,2
84,1
87,1
23,1
21,1
28,1
14,1
73,1
41,1
44,1
42,1
89,1
11,1
96,1
4,1
9,1
31,1
43,1
63,1
76,1
86,1
72,1
39,1
51,1
24,1
100,1
26,1
74,1
32,1
80,1
15,1
33,1
65,1
38,1
53,1
52,1
20,1
79,1
18,1
91,1
47,1
92,1
77,1
69,1
30,1
5,1
71,1
6,1
35,1
