shard,node
23,2
97,2
88,2
73,2
44,2
42,2
34,2
89,2
43,2
76,2
36,2
16,2
49,2
50,2
66,2
48,2
26,2
32,2
22,2
90,2
65,2
53,2
52,2
61,2
45,2
70,2
7,2
46,2
92,2
60,2
77,2
13,2
8,3
21,3
62,3
14,3
75,3
10,3
11,3
19,3
4,3
9,3
56,3
59,3
78,3
29,3
37,3
54,3
24,3
55,3
85,3
98,3
80,3
15,3
67,3
33,3
38,3
58,3
93,3
79,3
99,3
18,3
91,3
30,3
5,3
6,3
84,1
87,1
12,1
83,1
2,1
40,1
28,1
3,1
41,1
1,1
27,1
95,1
96,1
31,1
63,1
86,1
72,1
57,1
17,1
39,1
64,1
25,1
51,1
100,1
74,1
82,1
81,1
68,1
94,1
20,1
47,1
69,1
71,1
35,1
